close,high,date,low,open,volume_from,volume_to,symbol,btc_price
3260.11,3327.18,2018-06-26,3203.35,3366.93,255145.21,831801450.57,DASH,88499.89
3264.88,3315.57,2018-06-27,3187.11,3260.4,238418.53,778407890.23,DASH,87499.39
3200.14,3200.14,2018-06-28,3074.83,3257.94,215552.75,689798977.39,DASH,87399.8
3292.26,3356.66,2018-06-29,3220.03,3200.13,249977.21,822989969.39,DASH,87923.82
3355.77,3442.99,2018-06-30,3266.75,3293.13,177764.3,596536105.01,DASH,90547.81
3340.48,3369.19,2018-07-01,3249.89,3357.81,222240.48,742389878.63,DASH,89997.71
3546.1,3581.64,2018-07-02,3473.14,3340.48,182524.88,647251476.97,DASH,93720.78
3417.14,3631.98,2018-07-03,3397.78,3546.1,217356.29,742736872.81,DASH,94695.66
3507.21,3527.89,2018-07-04,3284.43,3419.91,261222.31,916161497.86,DASH,95848.76
3414.91,3500.56,2018-07-05,3388.21,3507.21,243103.48,830176504.89,DASH,94721.91
3414.91,3458.62,2018-07-06,3278.2,3414.91,185785.64,634441239.89,DASH,93349.69
3451.1,3501.19,2018-07-07,3417.08,3411.19,184552.49,636909098.24,DASH,94499
3407.04,3450.16,2018-07-08,3362.05,3455.82,168288.43,573365412.55,DASH,94895.01
3244.45,3414.76,2018-07-09,3198.59,3402.97,171606.89,556769974.26,DASH,94399.38
3104.58,3109.89,2018-07-10,2992.05,3237.84,139136.42,431960146.8,DASH,93998.79
3043.86,3152.76,2018-07-11,3006.37,3108.91,205903.05,626740057.77,DASH,90010.72
2913.84,2950.6,2018-07-12,2863.39,3043.85,190098.06,553915331.15,DASH,89264.8
3042.28,3367.21,2018-07-13,2944.36,2934.08,269128.18,818763279.45,DASH,88413.86
3112.82,3162.76,2018-07-14,3034.85,3041.66,129511.7,403146609.99,DASH,88147.16
3245.66,3280.33,2018-07-15,3112.31,3109.92,132496.52,430038655.1,DASH,89099.85
3369.89,3472.87,2018-07-16,3291.74,3245.66,122902.14,414166692.56,DASH,91997.95
3512.75,3699.66,2018-07-17,3498.9,3368.05,130389.39,458025329.72,DASH,99999.96
3619.86,3634.91,2018-07-18,3496.49,3513.74,119077.41,431043553.36,DASH,103100.97
3618.36,3834.86,2018-07-19,3560.35,3618.86,156015.98,564521981.39,DASH,103849.97
3381.58,3864.37,2018-07-20,3380.56,3618.36,166278.84,562285199.77,DASH,104949.92
3566.71,3589.46,2018-07-21,3358.85,3379.54,143473.23,511727404.17,DASH,103798.82
3509.72,3621.5,2018-07-22,3452.79,3566.7,104249.18,365885432.03,DASH,104497.61
3386.22,3671.1,2018-07-23,3348.45,3506.61,154176.27,522074769,DASH,108818.98
3483.48,3666.76,2018-07-24,3478.84,3379.66,138885.33,483804269.35,DASH,116996.94
3374.74,3426.33,2018-07-25,3274.93,3483.48,137594.24,464344785.5,DASH,116884.88
